model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,0.9984126984126984,0.9858490566037736,0.9399641577060931,0.9832402234636871,0.918918918918919,0.9858490566037736,0.9399641577060932,0.967032967032967,0.8947368421052632,0.9845360824742269,0.9387755102040817
KNN,0.9946920182214299,1.0,0.9560931899641577,1.0,0.9444444444444444,1.0,0.9560931899641577,1.0,0.9444444444444444,1.0,0.9591836734693877
AdaBoost,0.9973544973544973,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
GBDT,0.9973544973544974,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
RF,0.9978835978835978,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
LR,0.9984126984126984,0.9716981132075472,0.9516129032258065,0.967032967032967,0.923076923076923,0.9716981132075472,0.9516129032258064,0.9361702127659575,0.8571428571428571,0.9690721649484536,0.9387755102040817
LightGBM,0.9984126984126984,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
DecisionTrees,0.9939011968423733,0.9460763293310464,0.9238351254480286,0.941860465116279,0.8947368421052632,0.9460763293310464,0.9238351254480286,0.9642857142857143,0.85,0.9484536082474226,0.9183673469387755
GaussianNB,0.9799309622839034,0.9413593481989708,0.9399641577060931,0.9364161849710982,0.918918918918919,0.9413593481989708,0.9399641577060932,0.9529411764705882,0.8947368421052632,0.9432989690721649,0.9387755102040817
