model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,0.9940865234982882,0.9603344768439108,0.9516129032258065,0.9555555555555557,0.923076923076923,0.9603344768439108,0.9516129032258064,0.9347826086956522,0.8571428571428571,0.9587628865979382,0.9387755102040817
KNN,0.9302011713776419,1.0,0.8405017921146953,1.0,0.7999999999999999,1.0,0.8405017921146952,1.0,0.8235294117647058,1.0,0.8571428571428571
AdaBoost,0.9931216931216931,0.9650514579759863,0.8960573476702509,0.9608938547486033,0.8648648648648649,0.9650514579759862,0.8960573476702508,0.945054945054945,0.8421052631578947,0.9639175257731959,0.8979591836734694
GBDT,0.9949678861443567,1.0,0.9283154121863799,1.0,0.9142857142857143,1.0,0.9283154121863799,1.0,0.9411764705882353,1.0,0.9387755102040817
RF,0.9968253968253968,1.0,0.9283154121863799,1.0,0.9142857142857143,1.0,0.9283154121863799,1.0,0.9411764705882353,1.0,0.9387755102040817
LR,0.9930905695611576,0.9716981132075472,0.9516129032258065,0.967032967032967,0.923076923076923,0.9716981132075472,0.9516129032258064,0.9361702127659575,0.8571428571428571,0.9690721649484536,0.9387755102040817
LightGBM,0.9957360722066604,1.0,0.9283154121863799,1.0,0.9142857142857143,1.0,0.9283154121863799,1.0,0.9411764705882353,1.0,0.9387755102040817
DecisionTrees,0.9867498514557338,0.9433962264150944,0.8915770609318996,0.9361702127659575,0.85,0.9433962264150944,0.8915770609318996,0.88,0.7727272727272727,0.9381443298969072,0.8775510204081632
GaussianNB,0.9640126757773816,0.9054459691252144,0.8682795698924731,0.896551724137931,0.8333333333333334,0.9054459691252144,0.8682795698924731,0.9069767441860465,0.8333333333333334,0.9072164948453608,0.8775510204081632
