model,best_score,MSE_train,MSE_test,R2_train,R2_test
SVR,0.911461879336937,1.647436412458598,3.54002271783259,0.9720168762802741,0.9237511758245543
LinearRgression,0.892717883233531,5.412207274011198,11.086145748693532,0.9080690067306242,0.7612146459633333
Lasso,0.893145985143321,5.508425038087426,10.2658101632541,0.9064346652921208,0.778883917830981
Ridge,0.8929728787192909,5.418000202580407,10.831227747481996,0.9079706088588606,0.7667053445838877
ElasticNet,0.893145985143321,5.508425038087426,10.2658101632541,0.9064346652921208,0.778883917830981
RandomForestReg,0.9614997366230907,0.22865677280640953,2.405338966148683,0.9961160681441744,0.9481912172517045
DecisionTreeReg,0.9277113732616256,4.4117647058823214e-05,2.4999486301369855,0.999999250623838,0.9461534123533341
