model,best_score,MSE_train,MSE_test,R2_train,R2_test
SVR,0.9521393771798706,2.2872067165424577,4.517512018410414,0.9611498276731186,0.9026969578847409
LinearRgression,0.953308653781826,1.9553258402459712,5.349180407968707,0.9667871096655422,0.8847835878692705
Lasso,0.9545576036573694,2.063135165528707,4.999447345162541,0.9649558755950115,0.8923165154631856
Ridge,0.9537065187763378,1.9591083842817987,5.237792167738509,0.9667228599033484,0.887182787824045
ElasticNet,0.9545576036573694,2.063135165528707,4.999447345162541,0.9649558755950115,0.8923165154631856
RandomForestReg,0.9676200900278659,0.17792498792507438,1.885213181377557,0.996977791123053,0.9593942469137319
DecisionTreeReg,0.929181369671958,7.930299771006265e-36,2.9932876712328764,1.0,0.935527344443116
