model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,0.9968197379962085,0.9811320754716981,0.9722222222222222,0.9777777777777777,0.9714285714285714,0.9811320754716981,0.9722222222222222,0.9565217391304348,1.0,0.979381443298969,0.9795918367346939
KNN,0.9925699572758397,1.0,0.9560931899641577,1.0,0.9444444444444444,1.0,0.9560931899641577,1.0,0.9444444444444444,1.0,0.9591836734693877
AdaBoost,0.9973544973544973,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
GBDT,0.9973544973544974,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
RF,0.9978835978835978,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
LR,0.9984126984126984,0.9716981132075472,0.9516129032258065,0.967032967032967,0.923076923076923,0.9716981132075472,0.9516129032258064,0.9361702127659575,0.8571428571428571,0.9690721649484536,0.9387755102040817
LightGBM,0.9984126984126984,1.0,0.9722222222222222,1.0,0.9714285714285714,1.0,0.9722222222222222,1.0,1.0,1.0,0.9795918367346939
DecisionTrees,0.9886087768440708,0.9090909090909092,0.9283154121863799,0.9,0.9142857142857143,0.9090909090909092,0.9283154121863799,1.0,0.9411764705882353,0.9175257731958762,0.9387755102040817
GaussianNB,0.9820473644003055,0.947041166380789,0.9399641577060931,0.942528735632184,0.918918918918919,0.947041166380789,0.9399641577060932,0.9534883720930233,0.8947368421052632,0.9484536082474226,0.9387755102040817
