model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,0.9162323515264692,0.8799313893653516,0.8154121863799283,0.8685714285714287,0.761904761904762,0.8799313893653516,0.8154121863799283,0.8735632183908046,0.6666666666666666,0.8814432989690721,0.7959183673469388
KNN,0.8973926944515179,1.0,0.8154121863799283,1.0,0.761904761904762,1.0,0.8154121863799283,1.0,0.6666666666666666,1.0,0.7959183673469388
AdaBoost,0.9679979062332004,0.9640866209262435,0.8405017921146953,0.96045197740113,0.7999999999999999,0.9640866209262435,0.8405017921146952,0.9550561797752809,0.8235294117647058,0.9639175257731959,0.8571428571428571
GBDT,0.9812268341680106,1.0,0.9005376344086022,1.0,0.8823529411764706,1.0,0.9005376344086022,1.0,0.9375,1.0,0.9183673469387755
RF,0.9890402625696744,1.0,0.9283154121863799,1.0,0.9142857142857143,1.0,0.9283154121863799,1.0,0.9411764705882353,1.0,0.9387755102040817
LR,0.9159352629940865,0.866745283018868,0.7992831541218638,0.8555555555555556,0.7441860465116279,0.866745283018868,0.7992831541218638,0.8369565217391305,0.64,0.865979381443299,0.7755102040816326
