model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,0.9227060521178168,0.8572041166380789,0.8082437275985663,0.8421052631578947,0.7567567567567567,0.857204116638079,0.8082437275985663,0.8674698795180723,0.7368421052631579,0.8608247422680413,0.8163265306122449
KNN,0.8786011374246667,1.0,0.7365591397849462,1.0,0.6666666666666666,1.0,0.736559139784946,1.0,0.6666666666666666,1.0,0.7551020408163265
AdaBoost,0.9679483914778032,0.9224914236706689,0.8154121863799283,0.9152542372881356,0.761904761904762,0.9224914236706689,0.8154121863799283,0.9101123595505618,0.6666666666666666,0.9226804123711341,0.7959183673469388
GBDT,0.9733440851087909,1.0,0.8243727598566308,1.0,0.7777777777777778,1.0,0.8243727598566308,1.0,0.7777777777777778,1.0,0.8367346938775511
RF,0.9767238208414678,1.0,0.8566308243727598,1.0,0.823529411764706,1.0,0.8566308243727598,1.0,0.875,1.0,0.8775510204081632
LR,0.9243273066802477,0.8600986277873071,0.8198924731182795,0.8474576271186441,0.7692307692307692,0.8600986277873071,0.8198924731182796,0.8426966292134831,0.7142857142857143,0.8608247422680413,0.8163265306122449
