model,best_score,MSE_train,MSE_test,R2_train,R2_test
SVR,0.9466019476276968,1.3578494272762356,2.464038813579707,0.9769357601732718,0.9469268766802875
LinearRgression,0.8935602037966055,5.422899606203896,11.139113389259297,0.907887388276438,0.7600737718406498
Lasso,0.8936227956734164,5.423838596495702,11.04552727920888,0.9078714387191086,0.7620895303312809
Ridge,0.8936700247267177,5.427902095984503,10.88918870359619,0.9078024166870167,0.7654569190499132
ElasticNet,0.8936728404288742,5.428347388887423,10.8811639926382,0.9077948530042549,0.7656297639222956
RandomForestReg,0.964147277528188,0.18638199788235704,2.2782485632876903,0.9968341415386782,0.9509286273065382
DecisionTreeReg,0.9386712852633071,0.008025816993464054,3.0911261119567053,0.9998636745988,0.9334199946719489
