model,best_score,MSE_train,MSE_test,R2_train,R2_test
SVR,0.9958839239552459,0.12560569735732702,1.4036397586217768,0.9978664792507487,0.9697668942570108
LinearRgression,0.9815453598635748,0.6595004716924717,3.40215792882341,0.9887978175345497,0.9267206562191835
Lasso,0.9823542512371327,0.6686699854136154,3.4437925498983373,0.9886420654612266,0.9258238848832365
Ridge,0.9817322996168695,0.6599087143976284,3.3776813653403206,0.988790883181248,0.9272478588204662
ElasticNet,0.9823103780761085,0.6686699854136154,3.4437925498983373,0.9886420654612266,0.9258238848832365
RandomForestReg,0.9748262447567498,0.14038653649057006,1.4575349063102845,0.9976154139914045,0.9686060424863965
DecisionTreeReg,0.9383666241083128,0.008795913659581484,3.964628398103802,0.9998505938448958,0.9146055611097659
